broker,market,symbol,quantity,currency,name
國泰證券,美股,AAPL,1.37749,USD,Apple
國泰證券,美股,AMZN,1.19881,USD,Amazon
國泰證券,美股,GOOGL,1.61418,USD,Alphabet
國泰證券,美股,INDA,2.8069,USD,iShares MSCI India ETF
國泰證券,美股,META,0.45284,USD,Meta Platforms
國泰證券,美股,MSFT,0.90833,USD,Microsoft
國泰證券,美股,MU,0.02959,USD,Micron
國泰證券,美股,NFLX,2.18898,USD,Netflix
國泰證券,美股,NVDA,2.60727,USD,NVIDIA
國泰證券,美股,SPCX,0.14442,USD,SPCX ETF
國泰證券,美股,TSLA,1.07873,USD,Tesla
國泰證券,台股,006208.TW,18,TWD,富邦台50（定額）
國泰證券,台股,00662.TW,130,TWD,富邦NASDAQ-100（定額）
